btc_usd;bitcoin;crypto;0x264990fbd0A4796A3E3d8E37C4d5F87a3aCa5Ebf
eth_usd;ethereum;crypto;0x9ef1B8c0E4F7dc8bF5719Ea496883DC6401d5b2e
sol_usd;solana;crypto;0x0E8a53DD9c13589df6382F13dA6B3Ec8F919B323
bnb_usd;bnb;crypto;0x0567F2323251f0Aab15c8dFb1967E4e8A7D42aeE
ada_usd;cardano;crypto;0xa767f745331D267c7751297D982b050c93985627
avax_usd;avalanche;crypto;0x5974855ce31EE8E1fff2e76591CbF83D7110F151
dot_usd;polkadot;crypto;0xC333eb0086309a16aa7c8308DfD32c8BBA0a2592
ftm_usd;fantom;crypto;0xe2A47e87C0f4134c8D06A41975F6860468b2F925
matic_usd;polygon;crypto;0x7CA57b0cA6367191c94C8914d7Df09A57655905f
doge_usd;dogecoin;crypto;0x3AB0A0d137D4F946fBB19eecc6e92E64660231C8
dai_usd;dai;stable USD;0x132d3C0B1D2cEa0BC552588063bdBb210FDeecfA;stable
busd_usd;binance USD;stable USD;0xcBb98864Ef56E9042e7d2efef76141f15731B82f
usdc_usd;coinbase USD;stable USD;0x51597f405303C4377E36123cBc172b13269EA163
usdt_usd;tether USD;stable USD;0xB97Ad0E74fa7d920791E90258A6E2085088b4320