btc_usd;bitcoin;crypto;0xF4030086522a5bEEa4988F8cA5B36dbC97BeE88c
eth_usd;ethereum;crypto;0x5f4eC3Df9cbd43714FE2740f5E3616155c5b8419
sol_usd;solana;crypto;0x4ffC43a60e009B551865A93d232E33Fce9f01507
bnb_usd;bnb;crypto;0x14e613AC84a31f709eadbdF89C6CC390fDc9540A
ada_usd;cardano;crypto;0xAE48c91dF1fE419994FFDa27da09D5aC69c30f55
avax_usd;avalanche;crypto;0xFF3EEb22B5E3dE6e705b44749C2559d704923FD7
link_usd;chainlink;crypto;0x2c1d072e956AFFC0D435Cb7AC38EF18d24d9127c
dot_usd;polkadot;crypto;0x1C07AFb8E2B827c5A4739C6d59Ae3A5035f28734
ftm_eth;fantom;crypto;0x2DE7E4a9488488e0058B95854CC2f7955B35dC9b
matic_usd;polygon;crypto;0x7bAC85A8a13A4BcD8abb3eB7d6b4d632c5a57676
doge_usd;dogecoin;crypto;0x2465CefD3b488BE410b941b1d4b2767088e2A028
aave_eth;aave;defi;0x6Df09E975c830ECae5bd4eD9d90f3A95a4f88012
aave_usd;aave;defi;0x547a514d5e3769680Ce22B2361c10Ea13619e8a9
dydx_usd;dxdy;defi;0x478909D4D798f3a1F11fFB25E4920C959B4aDe0b
dai_usd;dai;stable USD;0xAed0c38402a5d19df6E4c03F4E2DceD6e29c1ee9
busd_usd;binance USD;stable USD;0x833D8Eb16D306ed1FbB5D7A2E019e106B960965A
usdc_usd;Coinbase USD;stable USD;0x8fFfFfd4AfB6115b954Bd326cbe7B4BA576818f6
usdt_usd;Tether USD;stable USD;0x3E7d1eAB13ad0104d2750B8863b489D65364e32D
wbtc_btc;wrapped bitcoin;stable BTC;0xfdFD9C85aD200c506Cf9e21F1FD8dd01932FBB23
amzn_usd;amazon;equities;0x8994115d287207144236c13Be5E2bDbf6357D9Fd
aapl_usd;apple;equities;0x139C8512Cde1778e9b9a8e721ce1aEbd4dD43587
googl_usd;alphabet;equities;0x36D39936BeA501755921beB5A382a88179070219
tsla_usd;tesla;equities;0x1ceDaaB50936881B3e449e47e40A2cDAF5576A4a
oil_usd;iol;commodities;0xf3584F4dd3b467e73C2339EfD008665a70A4185c
silver_usd;silver;commodities;0x379589227b15F1a12195D3f2d90bBc9F31f95235
gold_usd;gold;commodities;0x214eD9Da11D2fbe465a6fc601a91E62EbEc1a0D6